work_order_id,program,part_category,production_cell,priority_level,status,planned_start_date,planned_completion_date,forecast_completion_date,days_behind_schedule,material_available,supplier_delay_days,inspection_hold,quality_hold,rework_hours,defect_count,machine_availability_pct,labor_capacity_pct,estimated_cost_impact,delivery_risk_score,risk_category,primary_risk_driver,late_delivery_flag,late_delivery_probability,late_delivery_prediction
WO-0121,Horizon ISR,Ground Support Bracket,Cell D,Medium,Inspection,2026-04-03,2026-05-05,2026-05-08,3,True,0,False,False,6,1,86.7,83.6,2626.29,29.8,Low,Quality / Rework,1,0.577892937616844,1
WO-0122,Orion Sensor,Comms Enclosure,Cell E,Low,Ready for Delivery,2026-05-22,2026-06-24,2026-06-22,0,False,4,False,False,2,0,55.6,95.5,5621.23,34.4,Medium,Supplier / Material Delay,0,0.43929563106076563,0
WO-0123,Horizon ISR,Comms Enclosure,Cell B,Urgent,In Progress,2026-05-07,2026-05-31,2026-06-05,5,True,0,True,False,7,2,77.2,73.0,2318.91,71.4,High,Priority Pressure,1,0.6938562665715375,1
WO-0124,Horizon ISR,Ground Support Bracket,Cell A,Medium,In Progress,2026-05-11,2026-05-16,2026-05-08,0,True,0,False,False,0,2,100.0,76.2,1112.83,14.6,Low,Quality / Rework,0,0.3328798628019479,0
WO-0125,Horizon ISR,Guidance Assembly,Cell D,High,Ready for Delivery,2026-05-23,2026-06-26,2026-07-02,6,True,0,False,False,0,0,90.3,99.9,0.0,30.2,Medium,Schedule Delay,1,0.5597931061164227,1
WO-0126,Falcon Shield,Comms Enclosure,Cell B,Low,Inspection,2026-05-22,2026-06-08,2026-05-29,0,False,9,False,False,6,0,97.7,93.5,16095.56,42.0,Medium,Supplier / Material Delay,0,0.2564575601422752,0
WO-0127,Atlas Comms,Comms Enclosure,Cell C,High,Inspection,2026-05-09,2026-06-02,2026-06-02,0,True,0,False,False,6,2,100.0,100.0,1695.0,25.0,Low,Quality / Rework,0,0.4342141876064667,0
WO-0128,Horizon ISR,Guidance Assembly,Cell E,Urgent,Inspection,2026-04-02,2026-04-22,2026-04-25,3,True,0,True,False,11,1,85.9,65.2,3295.34,62.8,High,Quality / Rework,1,0.6793009034112111,1
WO-0129,Falcon Shield,Guidance Assembly,Cell D,Medium,Inspection,2026-05-13,2026-05-19,2026-05-14,0,True,0,False,True,0,2,84.7,85.0,680.6,27.6,Low,Quality / Rework,0,0.47257717947517847,0
WO-0130,Atlas Comms,Power Module,Cell C,Low,In Progress,2026-04-17,2026-05-19,2026-05-23,4,True,0,False,False,8,1,91.3,100.0,2554.31,26.8,Low,Quality / Rework,1,0.6236723338265981,1
WO-0131,Orion Sensor,Comms Enclosure,Cell A,Urgent,In Progress,2026-05-15,2026-06-10,2026-06-10,0,True,0,False,False,5,1,74.8,85.5,1631.52,37.8,Medium,Priority Pressure,0,0.3424437210717981,0
WO-0132,Falcon Shield,Ground Support Bracket,Cell D,Medium,Rework,2026-05-16,2026-06-19,2026-06-10,0,True,0,False,False,0,2,100.0,100.0,950.32,10.6,Low,Quality / Rework,0,0.4108495612035137,0
WO-0133,Falcon Shield,Ground Support Bracket,Cell D,Urgent,In Progress,2026-04-03,2026-04-26,2026-04-29,3,False,15,False,False,0,1,91.5,98.6,16553.23,70.4,High,Supplier / Material Delay,1,0.5663792981290267,1
WO-0134,Orion Sensor,Comms Enclosure,Cell D,High,Inspection,2026-04-26,2026-05-21,2026-05-11,0,True,0,True,False,7,1,79.9,87.1,2944.42,36.6,Medium,Quality / Rework,0,0.32028662082832593,0
WO-0135,Horizon ISR,Power Module,Cell A,Low,In Progress,2026-05-24,2026-06-23,2026-07-16,23,True,0,False,False,0,2,85.3,95.4,1664.53,37.6,Medium,Schedule Delay,1,0.5278450595931521,1
WO-0136,Horizon ISR,Comms Enclosure,Cell B,Medium,Material Hold,2026-04-16,2026-05-07,2026-05-01,0,True,0,False,True,2,1,98.6,97.0,1256.91,22.6,Low,Quality / Rework,0,0.2759443068796014,0
WO-0137,Viper Ground,Flight Control Subassembly,Cell C,Medium,In Progress,2026-04-29,2026-05-28,2026-05-28,0,True,0,True,True,4,1,90.2,88.0,1437.26,33.4,Medium,Quality / Rework,0,0.35309415397687016,0
WO-0138,Atlas Comms,Flight Control Subassembly,Cell E,High,Rework,2026-04-12,2026-04-29,2026-04-25,0,False,18,False,False,3,0,99.8,100.0,30715.64,55.2,High,Supplier / Material Delay,0,0.424312165368207,0
WO-0139,Horizon ISR,Flight Control Subassembly,Cell D,Low,Rework,2026-04-16,2026-04-29,2026-04-28,0,True,0,False,False,0,2,86.4,100.0,1022.38,5.6,Low,Quality / Rework,0,0.3858595627514089,0
WO-0140,Falcon Shield,Sensor Housing,Cell A,Medium,Ready for Delivery,2026-04-17,2026-05-03,2026-04-22,0,True,0,False,True,5,0,78.1,100.0,632.8,29.0,Low,Quality / Rework,0,0.5735362552520368,1
WO-0141,Horizon ISR,Guidance Assembly,Cell B,Low,Inspection,2026-04-28,2026-05-30,2026-05-30,0,True,0,False,False,0,0,91.2,88.7,0.0,0.0,Low,Schedule Delay,0,0.5326847810876228,1
WO-0142,Orion Sensor,Guidance Assembly,Cell E,Medium,In Progress,2026-04-26,2026-05-25,2026-05-29,4,True,0,False,False,0,0,89.1,88.8,0.0,17.8,Low,Schedule Delay,1,0.4504377410124978,0
WO-0143,Horizon ISR,Ground Support Bracket,Cell E,Medium,In Progress,2026-05-10,2026-05-17,2026-05-08,0,True,0,False,True,4,3,82.6,100.0,2455.39,36.0,Medium,Quality / Rework,0,0.48958087411829243,0
WO-0144,Orion Sensor,Ground Support Bracket,Cell D,Low,Material Hold,2026-04-06,2026-04-14,2026-04-09,0,True,0,False,False,7,0,90.3,83.9,896.93,13.8,Low,Quality / Rework,0,0.3578174445852908,0
WO-0145,Falcon Shield,Comms Enclosure,Cell B,High,Inspection,2026-04-12,2026-04-21,2026-04-23,2,True,0,False,False,2,2,84.9,92.2,1872.3,30.8,Medium,Priority Pressure,1,0.49130644269375306,0
WO-0146,Horizon ISR,Comms Enclosure,Cell E,Urgent,Rework,2026-05-11,2026-06-11,2026-06-02,0,True,0,False,False,0,0,100.0,74.5,0.0,27.0,Low,Priority Pressure,0,0.4217886190954844,0
WO-0147,Falcon Shield,Ground Support Bracket,Cell D,High,Ready for Delivery,2026-04-08,2026-04-23,2026-04-26,3,True,0,False,False,7,2,91.6,93.9,3146.19,36.0,Medium,Quality / Rework,1,0.667885326086198,1
WO-0148,Viper Ground,Power Module,Cell C,High,Ready for Delivery,2026-04-27,2026-05-23,2026-05-16,0,True,0,True,False,0,0,92.7,100.0,0.0,19.0,Low,Priority Pressure,0,0.4721994504000006,0
WO-0149,Orion Sensor,Ground Support Bracket,Cell B,High,In Progress,2026-05-07,2026-06-04,2026-06-07,3,True,0,False,False,10,0,87.9,96.8,1781.9,34.6,Medium,Quality / Rework,1,0.674533770333093,1
WO-0150,Atlas Comms,Comms Enclosure,Cell D,Urgent,In Progress,2026-05-07,2026-06-10,2026-06-10,0,True,0,False,True,12,1,85.6,68.8,4102.23,57.8,High,Quality / Rework,0,0.43772551994633707,0
WO-0151,Atlas Comms,Power Module,Cell E,Urgent,Ready for Delivery,2026-05-04,2026-06-05,2026-06-06,1,True,0,False,False,3,1,90.3,76.7,1890.65,32.2,Medium,Priority Pressure,1,0.5862839186359785,1
WO-0152,Horizon ISR,Sensor Housing,Cell D,Low,Inspection,2026-04-07,2026-04-24,2026-04-27,3,True,0,False,False,4,2,94.7,91.8,2837.67,20.8,Low,Quality / Rework,1,0.7115964041831775,1
WO-0153,Orion Sensor,Flight Control Subassembly,Cell A,High,In Progress,2026-05-17,2026-06-17,2026-06-13,0,True,0,False,True,1,2,100.0,65.5,1527.94,39.0,Medium,Quality / Rework,0,0.2941932146731675,0
WO-0154,Orion Sensor,Ground Support Bracket,Cell A,Urgent,Inspection,2026-04-19,2026-05-14,2026-05-24,10,True,0,False,False,0,0,88.2,72.6,0.0,59.0,High,Schedule Delay,1,0.617696125790765,1
WO-0155,Falcon Shield,Power Module,Cell D,High,In Progress,2026-04-10,2026-05-08,2026-05-12,4,True,0,False,False,15,1,85.7,98.9,3061.85,42.6,Medium,Quality / Rework,1,0.6207798374218876,1
WO-0156,Horizon ISR,Ground Support Bracket,Cell E,High,In Progress,2026-04-14,2026-04-21,2026-04-04,0,False,10,True,False,2,1,80.2,100.0,13983.38,65.6,High,Supplier / Material Delay,0,0.3595320366981232,0
WO-0157,Falcon Shield,Flight Control Subassembly,Cell C,Urgent,In Progress,2026-05-23,2026-06-02,2026-05-29,0,True,0,False,True,0,3,96.2,69.9,3105.3,47.4,Medium,Quality / Rework,0,0.4029838957640687,0
WO-0158,Viper Ground,Guidance Assembly,Cell C,High,In Progress,2026-04-15,2026-05-13,2026-05-15,2,True,0,False,False,9,0,89.6,61.5,1687.15,39.0,Medium,Quality / Rework,1,0.7757395624796272,1
WO-0159,Viper Ground,Comms Enclosure,Cell E,High,Material Hold,2026-03-31,2026-04-29,2026-04-22,0,True,0,True,False,1,0,83.0,99.2,139.9,25.4,Low,Priority Pressure,0,0.3592728969810599,0
WO-0160,Orion Sensor,Guidance Assembly,Cell B,Medium,In Progress,2026-04-11,2026-05-01,2026-05-06,5,True,0,False,False,2,0,96.3,97.9,474.92,23.8,Low,Schedule Delay,1,0.604919956167364,1
WO-0161,Viper Ground,Sensor Housing,Cell C,Medium,In Progress,2026-04-28,2026-05-21,2026-05-24,3,True,0,False,False,11,3,75.6,85.3,5293.85,43.4,Medium,Quality / Rework,1,0.7992063446503123,1
WO-0162,Viper Ground,Flight Control Subassembly,Cell E,Low,Rework,2026-04-13,2026-05-11,2026-05-12,1,True,0,True,False,2,0,87.3,82.6,501.8,18.0,Low,Inspection Hold,1,0.6635661583645611,1
WO-0163,Falcon Shield,Guidance Assembly,Cell B,Medium,Ready for Delivery,2026-05-19,2026-06-08,2026-06-17,9,True,0,False,False,0,2,81.3,90.8,2294.29,44.4,Medium,Schedule Delay,1,0.5081052890139182,1
WO-0164,Orion Sensor,Comms Enclosure,Cell B,High,In Progress,2026-04-01,2026-04-11,2026-04-14,3,True,0,False,False,2,0,89.2,65.8,384.7,32.4,Medium,Priority Pressure,1,0.5025764194266042,1
WO-0165,Atlas Comms,Comms Enclosure,Cell B,Urgent,Ready for Delivery,2026-05-24,2026-06-04,2026-06-04,0,True,0,False,True,2,3,100.0,96.8,2722.94,41.2,Medium,Quality / Rework,0,0.47145213129031494,0
WO-0166,Falcon Shield,Sensor Housing,Cell D,High,Material Hold,2026-04-25,2026-05-24,2026-05-28,4,True,0,False,False,3,0,77.6,100.0,466.3,33.0,Medium,Schedule Delay,1,0.5760132705915648,1
WO-0167,Falcon Shield,Power Module,Cell A,High,Material Hold,2026-05-01,2026-05-11,2026-05-11,0,True,0,False,False,1,0,68.7,79.9,121.27,26.4,Low,Priority Pressure,0,0.3286709638296551,0
WO-0168,Atlas Comms,Comms Enclosure,Cell C,Medium,Rework,2026-05-14,2026-05-26,2026-06-03,8,True,0,False,True,8,2,76.3,59.7,3525.93,73.4,High,Quality / Rework,1,0.7916844133173625,1
WO-0169,Atlas Comms,Ground Support Bracket,Cell B,High,In Progress,2026-04-02,2026-04-16,2026-04-06,0,False,10,True,False,2,1,89.8,96.7,13706.55,60.6,High,Supplier / Material Delay,0,0.38460302652226086,0
WO-0170,Viper Ground,Comms Enclosure,Cell A,High,In Progress,2026-05-07,2026-06-06,2026-06-29,23,True,0,False,False,1,1,100.0,86.0,899.64,47.2,Medium,Schedule Delay,1,0.5140340078728388,1
WO-0171,Orion Sensor,Guidance Assembly,Cell E,High,In Progress,2026-05-19,2026-06-17,2026-06-14,0,True,0,True,False,0,2,97.5,90.8,1049.92,24.6,Low,Priority Pressure,0,0.3202849109499662,0
WO-0172,Falcon Shield,Flight Control Subassembly,Cell E,High,Rework,2026-04-23,2026-05-22,2026-05-20,0,False,7,False,False,4,1,96.5,86.1,10316.91,48.2,Medium,Supplier / Material Delay,0,0.30805228725322426,0
WO-0173,Orion Sensor,Ground Support Bracket,Cell D,Medium,In Progress,2026-04-22,2026-05-12,2026-05-11,0,True,0,True,False,9,0,94.7,73.1,1288.26,34.6,Medium,Quality / Rework,0,0.4472016297141059,0
WO-0174,Viper Ground,Power Module,Cell E,Medium,Rework,2026-05-02,2026-06-05,2026-06-05,0,True,0,True,False,4,0,100.0,92.1,698.98,18.6,Low,Inspection Hold,0,0.5396510834337391,1
WO-0175,Horizon ISR,Ground Support Bracket,Cell B,Medium,In Progress,2026-05-02,2026-05-25,2026-05-21,0,True,0,False,False,10,0,100.0,100.0,2175.28,19.0,Low,Quality / Rework,0,0.5805797313807735,1
WO-0176,Viper Ground,Guidance Assembly,Cell A,Medium,Ready for Delivery,2026-04-25,2026-05-16,2026-05-24,8,False,3,True,False,5,1,87.5,75.3,5645.58,71.6,High,Schedule Delay,1,0.6681283970990283,1
WO-0177,Orion Sensor,Flight Control Subassembly,Cell D,Medium,Rework,2026-05-10,2026-06-02,2026-06-01,0,True,0,False,False,0,0,83.0,50.6,0.0,19.0,Low,Labor Capacity,0,0.38200357408168145,0
WO-0178,Viper Ground,Power Module,Cell D,High,Material Hold,2026-04-14,2026-05-16,2026-05-19,3,True,0,False,False,2,0,87.2,78.0,410.35,27.4,Low,Priority Pressure,1,0.41481380715461275,0
WO-0179,Horizon ISR,Flight Control Subassembly,Cell B,High,In Progress,2026-05-12,2026-06-12,2026-06-20,8,False,11,True,False,0,0,91.2,100.0,17488.5,83.0,Critical,Supplier / Material Delay,1,0.5960821986596272,1
WO-0180,Orion Sensor,Comms Enclosure,Cell B,Medium,Material Hold,2026-04-18,2026-05-04,2026-04-30,0,True,0,False,False,4,1,90.4,90.4,1673.28,13.4,Low,Quality / Rework,0,0.2606732680799764,0
WO-0181,Falcon Shield,Flight Control Subassembly,Cell A,Medium,Ready for Delivery,2026-04-15,2026-04-27,2026-04-20,0,True,0,False,False,3,1,99.3,98.0,1252.12,12.0,Low,Quality / Rework,0,0.3990489072737764,0
WO-0182,Horizon ISR,Comms Enclosure,Cell D,Low,In Progress,2026-04-29,2026-06-01,2026-05-25,0,True,0,False,False,0,2,69.7,94.7,759.09,15.6,Low,Machine Capacity,0,0.33013073948532357,0
WO-0183,Viper Ground,Comms Enclosure,Cell C,Urgent,Rework,2026-05-06,2026-06-01,2026-06-04,3,True,0,False,False,0,3,96.0,81.9,1156.28,40.0,Medium,Priority Pressure,1,0.7341546393868956,1
WO-0184,Orion Sensor,Guidance Assembly,Cell D,Low,Rework,2026-04-09,2026-04-16,2026-04-16,0,True,0,True,False,0,0,92.0,100.0,0.0,8.0,Low,Inspection Hold,0,0.3665337953762623,0
WO-0185,Atlas Comms,Flight Control Subassembly,Cell B,Medium,Inspection,2026-05-12,2026-06-11,2026-06-26,15,False,12,False,True,11,1,100.0,97.2,20330.05,100.0,Critical,Schedule Delay,1,0.8008547426545972,1
WO-0186,Falcon Shield,Power Module,Cell A,High,In Progress,2026-04-04,2026-04-27,2026-04-26,0,False,12,False,False,0,2,87.2,76.9,22470.92,60.6,High,Supplier / Material Delay,0,0.2881114849760552,0
WO-0187,Atlas Comms,Comms Enclosure,Cell D,Urgent,Inspection,2026-04-18,2026-04-23,2026-05-02,9,True,0,False,False,10,0,99.4,92.6,2290.74,60.8,High,Schedule Delay,1,0.6260671488042977,1
WO-0188,Viper Ground,Comms Enclosure,Cell C,Medium,Ready for Delivery,2026-04-25,2026-05-29,2026-05-31,2,False,4,False,False,6,0,67.1,100.0,4789.88,51.4,Medium,Supplier / Material Delay,1,0.7021217108244768,1
WO-0189,Viper Ground,Guidance Assembly,Cell A,High,Ready for Delivery,2026-05-16,2026-06-13,2026-06-18,5,True,0,False,False,0,1,91.5,87.0,360.31,29.8,Low,Schedule Delay,1,0.6329160672926148,1
WO-0190,Viper Ground,Power Module,Cell E,Medium,In Progress,2026-04-18,2026-05-06,2026-05-03,0,True,0,False,False,1,0,82.1,82.0,256.23,15.4,Low,Machine Capacity,0,0.36405769610022815,0
WO-0191,Viper Ground,Flight Control Subassembly,Cell E,Medium,Rework,2026-05-08,2026-06-09,2026-06-19,10,True,0,False,False,0,1,83.0,73.0,572.18,53.8,Medium,Schedule Delay,1,0.6451041791439458,1
WO-0192,Orion Sensor,Power Module,Cell D,High,Ready for Delivery,2026-05-15,2026-06-12,2026-06-04,0,True,0,True,False,5,0,99.0,78.3,920.9,30.0,Medium,Priority Pressure,0,0.2446937867055762,0
WO-0193,Atlas Comms,Guidance Assembly,Cell E,Urgent,Rework,2026-04-14,2026-05-03,2026-05-12,9,False,11,False,True,6,4,57.5,100.0,22355.43,100.0,Critical,Supplier / Material Delay,1,0.6693861190156872,1
WO-0194,Viper Ground,Power Module,Cell E,Medium,Ready for Delivery,2026-04-05,2026-04-28,2026-04-29,1,False,24,False,False,10,0,100.0,69.7,35390.33,71.2,High,Supplier / Material Delay,1,0.4558180174571285,0
WO-0195,Horizon ISR,Sensor Housing,Cell D,Medium,In Progress,2026-05-01,2026-06-03,2026-06-14,11,True,0,False,False,12,1,100.0,73.7,2009.78,64.8,High,Schedule Delay,1,0.5392588153977097,1
WO-0196,Atlas Comms,Sensor Housing,Cell C,High,In Progress,2026-04-12,2026-04-29,2026-05-02,3,True,0,False,False,3,0,63.0,77.8,746.71,38.8,Medium,Priority Pressure,1,0.44193361391342406,0
WO-0197,Atlas Comms,Comms Enclosure,Cell A,Medium,Rework,2026-04-27,2026-05-26,2026-06-02,7,False,19,False,False,9,1,100.0,73.8,32164.69,91.8,Critical,Supplier / Material Delay,1,0.7026428047842816,1
WO-0198,Falcon Shield,Power Module,Cell D,Medium,Rework,2026-05-22,2026-06-18,2026-06-10,0,False,11,False,False,6,0,87.5,80.1,11719.84,55.8,High,Supplier / Material Delay,0,0.30531924492372126,0
WO-0199,Falcon Shield,Ground Support Bracket,Cell C,Medium,In Progress,2026-05-20,2026-06-04,2026-06-18,14,True,0,False,False,6,1,70.8,71.2,1634.28,67.2,High,Schedule Delay,1,0.6465428291993189,1
WO-0200,Orion Sensor,Guidance Assembly,Cell A,Medium,Inspection,2026-05-08,2026-06-09,2026-06-21,12,True,0,False,False,7,0,89.9,100.0,1172.97,46.8,Medium,Schedule Delay,1,0.5128932187647198,1
WO-0201,Horizon ISR,Guidance Assembly,Cell B,Medium,In Progress,2026-04-18,2026-05-18,2026-05-15,0,True,0,False,True,3,3,88.2,89.2,3278.15,29.6,Low,Quality / Rework,0,0.6448327208792834,1
WO-0202,Viper Ground,Comms Enclosure,Cell A,Medium,Material Hold,2026-05-23,2026-06-06,2026-06-08,2,True,0,True,False,5,1,85.7,100.0,1820.38,29.2,Low,Quality / Rework,1,0.6644543989345799,1
WO-0203,Falcon Shield,Sensor Housing,Cell E,Medium,In Progress,2026-04-02,2026-05-02,2026-05-10,8,False,23,False,False,3,0,87.2,60.1,33581.11,83.8,Critical,Supplier / Material Delay,1,0.43691648664531585,0
WO-0204,Horizon ISR,Ground Support Bracket,Cell C,Urgent,In Progress,2026-05-13,2026-06-01,2026-06-02,1,True,0,False,False,0,2,79.1,100.0,777.73,31.8,Medium,Priority Pressure,1,0.6196944227562005,1
WO-0205,Viper Ground,Guidance Assembly,Cell D,Medium,In Progress,2026-04-08,2026-05-09,2026-05-20,11,True,0,False,False,5,3,67.1,94.2,2740.16,62.4,High,Schedule Delay,1,0.7512030791765567,1
WO-0206,Horizon ISR,Flight Control Subassembly,Cell C,Medium,In Progress,2026-05-06,2026-05-25,2026-05-19,0,True,0,False,False,3,0,82.1,91.9,425.54,14.2,Low,Machine Capacity,0,0.34762572922186574,0
WO-0207,Viper Ground,Guidance Assembly,Cell A,High,In Progress,2026-04-14,2026-05-10,2026-05-16,6,True,0,False,True,9,3,81.6,89.2,4476.19,68.2,High,Quality / Rework,1,0.7569277608112785,1
WO-0208,Orion Sensor,Guidance Assembly,Cell C,Medium,In Progress,2026-05-13,2026-06-09,2026-06-20,11,True,0,False,False,2,1,96.8,70.7,1472.02,51.6,Medium,Schedule Delay,1,0.59541001116862,1
WO-0209,Atlas Comms,Guidance Assembly,Cell E,High,In Progress,2026-04-13,2026-04-22,2026-04-22,0,True,0,True,False,0,0,86.9,78.6,0.0,23.0,Low,Priority Pressure,0,0.37975686545776305,0
WO-0210,Horizon ISR,Flight Control Subassembly,Cell B,High,Inspection,2026-05-13,2026-06-05,2026-05-27,0,True,0,True,False,0,2,74.0,56.4,793.71,43.6,Medium,Priority Pressure,0,0.5018860832859903,1
WO-0211,Viper Ground,Flight Control Subassembly,Cell C,Medium,Rework,2026-05-01,2026-05-14,2026-05-19,5,True,0,True,False,0,1,86.9,91.9,1152.08,31.8,Medium,Schedule Delay,1,0.6507247080224245,1
WO-0212,Orion Sensor,Guidance Assembly,Cell B,Medium,Rework,2026-04-08,2026-05-10,2026-05-10,0,True,0,False,False,0,2,86.7,48.2,2034.98,19.6,Low,Labor Capacity,0,0.5646749110702518,1
WO-0213,Orion Sensor,Flight Control Subassembly,Cell C,Low,Inspection,2026-04-24,2026-05-12,2026-05-10,0,True,0,False,False,0,0,86.6,89.8,0.0,0.0,Low,Schedule Delay,0,0.36657997879218546,0
WO-0214,Atlas Comms,Flight Control Subassembly,Cell D,Medium,Rework,2026-04-17,2026-04-24,2026-04-25,1,True,0,False,False,0,0,89.2,78.9,0.0,12.2,Low,Priority Pressure,1,0.529254447115693,1
WO-0215,Viper Ground,Comms Enclosure,Cell E,Medium,In Progress,2026-04-16,2026-05-19,2026-05-13,0,True,0,True,False,0,0,89.7,78.9,0.0,17.0,Low,Inspection Hold,0,0.3364643546019388,0
WO-0216,Horizon ISR,Flight Control Subassembly,Cell D,High,In Progress,2026-05-05,2026-05-24,2026-05-17,0,True,0,False,False,2,0,85.9,83.6,354.37,17.8,Low,Priority Pressure,0,0.41581907587332523,0
WO-0217,Atlas Comms,Ground Support Bracket,Cell B,Low,Ready for Delivery,2026-05-03,2026-05-20,2026-05-12,0,True,0,True,True,0,1,98.3,90.8,340.77,22.8,Low,Quality / Rework,0,0.49404257407422913,0
WO-0218,Horizon ISR,Power Module,Cell A,Low,In Progress,2026-04-12,2026-04-26,2026-04-28,2,True,0,True,False,0,3,88.5,100.0,2696.49,22.8,Low,Quality / Rework,1,0.6984570009919865,1
WO-0219,Atlas Comms,Ground Support Bracket,Cell C,Medium,Material Hold,2026-04-06,2026-05-06,2026-04-26,0,True,0,False,False,2,2,100.0,94.9,1088.48,13.4,Low,Quality / Rework,0,0.32164739033921963,0
WO-0220,Horizon ISR,Flight Control Subassembly,Cell E,High,Rework,2026-05-18,2026-06-13,2026-06-25,12,True,0,False,False,6,1,79.2,96.1,1844.39,59.2,High,Schedule Delay,1,0.6224600456024422,1
WO-0221,Falcon Shield,Power Module,Cell D,High,Inspection,2026-05-12,2026-06-12,2026-06-08,0,True,0,False,False,8,0,84.2,85.7,991.19,27.2,Low,Quality / Rework,0,0.31019162240447923,0
WO-0222,Horizon ISR,Comms Enclosure,Cell A,Medium,Rework,2026-04-01,2026-04-30,2026-05-02,2,True,0,False,True,10,3,90.4,74.8,3929.46,54.8,Medium,Quality / Rework,1,0.7758324255519742,1
WO-0223,Horizon ISR,Flight Control Subassembly,Cell D,Urgent,Inspection,2026-04-19,2026-05-11,2026-05-02,0,True,0,True,False,4,0,78.4,80.7,863.39,40.6,Medium,Priority Pressure,0,0.3482551425355705,0
WO-0224,Viper Ground,Power Module,Cell E,Medium,In Progress,2026-05-13,2026-05-19,2026-05-24,5,True,0,False,False,0,0,95.0,59.3,0.0,30.0,Medium,Schedule Delay,1,0.48127796438929743,0
WO-0225,Horizon ISR,Guidance Assembly,Cell A,Medium,Rework,2026-04-24,2026-05-20,2026-05-18,0,True,0,True,True,0,0,78.5,83.4,0.0,34.0,Medium,Quality / Rework,0,0.423036277319502,0
WO-0226,Viper Ground,Comms Enclosure,Cell E,High,In Progress,2026-04-07,2026-05-10,2026-05-05,0,True,0,False,True,13,3,69.1,92.6,5758.38,57.4,High,Quality / Rework,0,0.4457667051962111,0
WO-0227,Atlas Comms,Flight Control Subassembly,Cell B,Medium,Material Hold,2026-04-07,2026-05-01,2026-05-10,9,True,0,False,False,15,2,96.1,100.0,3033.19,55.4,High,Schedule Delay,1,0.7034259746495412,1
WO-0228,Viper Ground,Flight Control Subassembly,Cell D,Medium,Rework,2026-05-15,2026-06-08,2026-06-15,7,False,10,False,True,0,4,100.0,96.5,20067.48,86.6,Critical,Supplier / Material Delay,1,0.7014543746813302,1
WO-0229,Viper Ground,Guidance Assembly,Cell C,Medium,In Progress,2026-05-15,2026-06-14,2026-06-19,5,True,0,True,False,1,0,86.9,90.7,190.83,30.4,Medium,Schedule Delay,1,0.5679993766150585,1
WO-0230,Atlas Comms,Comms Enclosure,Cell A,Low,In Progress,2026-04-28,2026-05-15,2026-05-04,0,True,0,False,False,0,1,90.1,93.2,823.56,2.8,Low,Quality / Rework,0,0.3410621435535212,0
WO-0231,Atlas Comms,Flight Control Subassembly,Cell A,Medium,In Progress,2026-05-03,2026-05-11,2026-05-07,0,True,0,False,False,5,0,90.6,100.0,978.2,12.0,Low,Quality / Rework,0,0.3675430837801534,0
WO-0232,Orion Sensor,Sensor Housing,Cell E,Medium,Material Hold,2026-04-15,2026-04-22,2026-04-22,0,True,0,True,False,0,1,94.1,100.0,1045.79,15.8,Low,Inspection Hold,0,0.3760627732466848,0
WO-0233,Atlas Comms,Flight Control Subassembly,Cell E,Medium,Material Hold,2026-04-25,2026-05-22,2026-05-17,0,True,0,False,False,0,1,92.8,79.2,504.02,11.8,Low,Priority Pressure,0,0.4541162974297637,0
WO-0234,Orion Sensor,Comms Enclosure,Cell B,High,Inspection,2026-05-22,2026-06-07,2026-06-08,1,False,14,False,False,0,0,82.9,92.6,15112.59,59.2,High,Supplier / Material Delay,1,0.5295810019940761,1
WO-0235,Orion Sensor,Power Module,Cell B,Low,Inspection,2026-05-24,2026-06-24,2026-06-25,1,True,0,False,False,4,0,72.5,90.1,907.67,18.8,Low,Machine Capacity,1,0.3982396230255289,0
WO-0236,Horizon ISR,Power Module,Cell E,High,Inspection,2026-05-16,2026-05-23,2026-05-21,0,True,0,True,False,0,0,52.8,100.0,0.0,29.0,Low,Priority Pressure,0,0.3672720795477619,0
WO-0237,Orion Sensor,Comms Enclosure,Cell A,Low,In Progress,2026-04-02,2026-04-22,2026-04-19,0,True,0,False,False,0,0,56.2,100.0,0.0,10.0,Low,Machine Capacity,0,0.3387270061936108,0
WO-0238,Viper Ground,Comms Enclosure,Cell A,Low,Ready for Delivery,2026-05-17,2026-06-04,2026-05-31,0,False,17,False,True,0,1,99.6,69.1,21038.85,63.8,High,Supplier / Material Delay,0,0.2704840126165062,0
WO-0239,Falcon Shield,Power Module,Cell C,Urgent,In Progress,2026-05-17,2026-05-24,2026-05-25,1,False,9,False,False,4,1,95.4,100.0,16644.99,63.2,High,Supplier / Material Delay,1,0.6640577994332638,1
WO-0240,Atlas Comms,Comms Enclosure,Cell C,Low,In Progress,2026-05-15,2026-06-02,2026-05-31,0,True,0,False,False,4,0,94.0,78.5,715.21,9.6,Low,Quality / Rework,0,0.25895713973356327,0
WO-0241,Horizon ISR,Guidance Assembly,Cell A,Medium,In Progress,2026-05-06,2026-06-05,2026-06-08,3,True,0,False,False,5,3,80.0,87.5,3072.19,35.0,Medium,Quality / Rework,1,0.7652854371102757,1
WO-0242,Orion Sensor,Comms Enclosure,Cell C,Medium,Material Hold,2026-04-22,2026-05-07,2026-05-13,6,False,20,False,False,10,1,100.0,67.0,33215.51,90.0,Critical,Supplier / Material Delay,1,0.49693602646412677,0
